#date     expnum ccd id ccdnum
# Thick satellite
20180901  768000 nan nan 45
20180901  768000 nan nan 51
20180901  768000 nan nan 52
20180901  768000 nan nan 57
20180901  768000 nan nan 62
# Airplane
20180903  768677 nan nan  2
20180903  768677 nan nan  5
20180903  768677 nan nan  6
20180903  768677 nan nan 10
20180903  768677 nan nan 16
20180903  768677 nan nan 22
20180903  768677 nan nan 29
20180903  768677 nan nan 36
20180903  768677 nan nan 42
20180903  768677 nan nan 43
20180903  768677 nan nan 49
20180903  768677 nan nan 58
20180903  768677 nan nan 59
20180903  768677 nan nan 62
# Airplane
20180920  775977 nan nan  3
20180920  775977 nan nan  7
20180920  775977 nan nan 12
20180920  775977 nan nan 17
20180920  775977 nan nan 23
20180920  775977 nan nan 24
20180920  775977 nan nan 30
20180920  775977 nan nan 37
20180920  775977 nan nan 44
20180920  775977 nan nan 50
# Airplane
20181012  783063 nan nan  4
20181012  783063 nan nan  8
20181012  783063 nan nan  9
20181012  783063 nan nan 14
20181012  783063 nan nan 20
20181012  783063 nan nan 27
20181012  783063 nan nan 34
20181012  783063 nan nan 41
20181012  783063 nan nan 47
20181012  783063 nan nan 53
20181012  783063 nan nan 57
20181012  783063 nan nan 61
# Something
20190213  823087 nan nan 01
20190213  823087 nan nan 04
20190213  823087 nan nan 05
20190213  823087 nan nan 10
20190213  823087 nan nan 11
20190213  823087 nan nan 16
20190213  823087 nan nan 17
20190213  823087 nan nan 23
20190213  823087 nan nan 24
20190213  823087 nan nan 30
20190213  823087 nan nan 31
20190213  823087 nan nan 38
20181214  803349 nan nan 06
20181214  803349 nan nan 10
20181214  803349 nan nan 15
# Unknown
20190127  816747 nan nan  25
20190127  816747 nan nan  26
20190127  816747 nan nan  27
20190127  816747 nan nan  34
20190127  816747 nan nan  35
20190127  816747 nan nan  36
20190127  816747 nan nan  37
20190127  816747 nan nan  44
# Airplane
20190128  817017 nan nan 19
20190128  817017 nan nan 25
20190128  817017 nan nan 32
20190128  817017 nan nan 33
20190128  817017 nan nan 39
20190128  817017 nan nan 45
20190128  817017 nan nan 46
20190128  817017 nan nan 51
20190128  817017 nan nan 56
20190128  817017 nan nan 60
