#date     expnum ccd id ccdnum
# Airplane
20201025  948751 nan nan    3
20201025  948751 nan nan    7
20201025  948751 nan nan   12
20201025  948751 nan nan   17
20201025  948751 nan nan   23
20201025  948751 nan nan   30
20201025  948751 nan nan   37
20201025  948751 nan nan   44
20201025  948751 nan nan   50
# Iridium flare?
20210325  977534 nan nan   43
20210325  977534 nan nan   49
# Meteor?
20210521  999900 nan nan   19
# Iridium flare?
20210523 1000857 nan nan   44
20210523 1000857 nan nan   48
20210523 1000857 nan nan   49
# Satellite?
20210703 1011586 nan nan   56
20210703 1011586 nan nan   60
20210703 1011586 nan nan   61
20210703 1011586 nan nan   62
# Airplane
20210715 1016416 nan nan   19
20210715 1016416 nan nan   25
20210715 1016416 nan nan   32
20210715 1016416 nan nan   39
20210715 1016416 nan nan   45
20210715 1016416 nan nan   51
20210715 1016416 nan nan   56
# Airplane
20210718 1017502 nan nan    4
20210718 1017502 nan nan    8
20210718 1017502 nan nan   14
20210718 1017502 nan nan   20
20210718 1017502 nan nan   27
20210718 1017502 nan nan   34
20210718 1017502 nan nan   41
20210718 1017502 nan nan   47
20210718 1017502 nan nan   53
20210718 1017502 nan nan   57

