#date     expnum ccd id ccdnum
# Scattered light?
20220828 1126745 nan nan 4
20220828 1126745 nan nan 8
20220828 1126745 nan nan 14
20220828 1126745 nan nan 20
20220828 1126745 nan nan 27
20220828 1126745 nan nan 34
20220828 1126745 nan nan 41
20220828 1126745 nan nan 47
20220828 1126745 nan nan 53
20220828 1126745 nan nan 57
20220828 1126745 nan nan 58
20220828 1126745 nan nan 21
20220828 1126745 nan nan 28
20220828 1126745 nan nan 35
20220828 1126745 nan nan 42
# Airplane
20220804  1117604 nan nan 3
20220804  1117604 nan nan 7
20220804  1117604 nan nan 12
20220804  1117604 nan nan 17
20220804  1117604 nan nan 23
20220804  1117604 nan nan 30
20220804  1117604 nan nan 37
20220804  1117604 nan nan 44
20220804  1117604 nan nan 50
# Geosync Satellite
20220824  1125107 nan nan  51
20220824  1125108 nan nan  52
20220824  1125108 nan nan  53
# Meteor
20220828  1126577 nan nan  3
20220828  1126577 nan nan  7
20220828  1126577 nan nan  11
20220828  1126577 nan nan  16
20220828  1126577 nan nan  22
20220828  1126577 nan nan  29
20220828  1126577 nan nan  42
20220828  1126577 nan nan  48
# Geosync Satellites
20221001  1137112 nan nan  30
# Airplane
20230715  1222018 nan nan  1
20230715  1222018 nan nan  5
20230715  1222018 nan nan  9
20230715  1222018 nan nan  10
20230715  1222018 nan nan  15
20230715  1222018 nan nan  21
20230715  1222018 nan nan  28
20230715  1222018 nan nan  35
20230715  1222018 nan nan  42
20230715  1222018 nan nan  48
20230715  1222018 nan nan  53
20230715  1222018 nan nan  58
20230715  1222018 nan nan  62
