#date     expnum ccd id ccdnum
# Meteor
20220511 1094492 nan nan 13
20220511 1094492 nan nan 14
20220511 1094492 nan nan 20
20220511 1094492 nan nan 21
20220511 1094492 nan nan 28
20220511 1094492 nan nan 36
20220511 1094492 nan nan 37
20220511 1094492 nan nan 43
20220511 1094492 nan nan 44
20220511 1094492 nan nan 50
# Meteor
20220523 1100221 nan nan 1
20220523 1100221 nan nan 4
20220523 1100221 nan nan 14
20220523 1100221 nan nan 20
20220523 1100221 nan nan 26
20220523 1100221 nan nan 33
20220523 1100221 nan nan 39
20220523 1100221 nan nan 45
# Scattered light?
20220630 1111517 nan nan 19
20220630 1111517 nan nan 26
20220630 1111517 nan nan 33
20220630 1111517 nan nan 40
20220630 1111517 nan nan 46
20220630 1111517 nan nan 52
20220630 1111517 nan nan 56
20220630 1111517 nan nan 60
# Scattered light?
20220630 1111523 nan nan 19
20220630 1111523 nan nan 26
20220630 1111523 nan nan 33
20220630 1111523 nan nan 40
20220630 1111523 nan nan 46
20220630 1111523 nan nan 52
20220630 1111523 nan nan 56
20220630 1111523 nan nan 60
# Scattered light?
20220828 1126745 nan nan 4
20220828 1126745 nan nan 8
20220828 1126745 nan nan 14
20220828 1126745 nan nan 20
20220828 1126745 nan nan 27
20220828 1126745 nan nan 34
20220828 1126745 nan nan 41
20220828 1126745 nan nan 47
20220828 1126745 nan nan 53
20220828 1126745 nan nan 57
20220828 1126745 nan nan 58
20220828 1126745 nan nan 21
20220828 1126745 nan nan 28
20220828 1126745 nan nan 35
20220828 1126745 nan nan 42
